"bank,type,year,govt_securities_india_crore,total_investments_crore,cet1_capital_crore,cet1_ratio_pct,govt_htm_cost_crore,govt_htm_fair_value_crore,govt_afs_crore,govt_fvtpl_crore,source_pages"
"SBI,PSU,Mar 2026,1465979.36,1801254.08,486848.03,12.29,1227171.93,1213295.38,150885.40,87922.01,"
"HDFC,Private,Mar 2026,781055.07,884201.47,514070.42,17.28,658951.82,650516.69,83885.30,38217.95,"
"ICICI,Private,Mar 2026,387868.91,492217.33,297817.76,16.35,327913.23,330293.47,36644.33,23311.34,"
"BOB,PSU,Mar 2026,327217.33,382405.72,136294.63,13.16,273193.73,269604.73,28741.49,25282.11,"
"SBI,PSU,Mar 2025,1326676.69,1690572.74,394378.80,10.81,1151035.10,1173865.38,113856.67,61784.92,"
"HDFC,Private,Mar 2025,765230.14,836359.67,458210.41,17.23,596551.53,607728.09,136517.66,32160.95,"
"ICICI,Private,Mar 2025,399692.28,504756.74,256737.50,15.94,313245.49,321582.76,57789.32,28657.46,"
"BOB,PSU,Mar 2025,328108.70,381711.11,120497.00,13.78,264483.96,267743.18,61041.28,2583.46,"
